site_id,name,latitude,longitude,n_connectors,max_power_kw,connector_types,operator
PN7UVQ7F34MXVTTLAJM4,"Mercadona, Sardenya, Barcelona",41.40038,2.177086,0,,Unknown,Unknown
5RVIVJC0EHYEEERML0IT,"Repsol ES-CL, DERIVADOS SANTA CRUZ S.L.",41.840622,-2.044228,0,,Unknown,Unknown
ICBCQXUIT5TSSGT4JQA0,"Repsol ES, CRED DIAGONAL PLAZA",41.636177,-0.991801,0,,Unknown,Unknown
9HCCYT2KT17HDXUQDV6W,"Mercadona, Avda. De Madrid, Zaragoza",41.650234,-0.916968,0,,Unknown,Unknown
SWLMKECFVCOXPDMT3V7W,"Seur, Manzanares",39.01434,-3.371398,0,,Unknown,Unknown
IWYLRTSGGEE7MDYSOJSU,"Mercadona, Misioneras Concepcionistas, Cádiz",36.15526,-5.450199,0,,Unknown,Unknown
ZTRT6PV7V5PVU2NTVRJ7,"Mercadona, Génova, Islas Baleares",39.57304,2.619963,0,,Unknown,Unknown
SJOS8H8M2862EQ9NOWK5,"Once, Centro logístico",40.37646,-3.634324,0,,Unknown,Unknown
6PTZKHFYNGRKGSLXHQYW,"Repsol ES,  ASTIGI IBERICA S.L. I",37.526638,-5.085269,0,,Unknown,Unknown
UXADYXLN8M6EVQTH6OGL,"Repsol ES,  CRED CUELLAR",41.39453,-4.3053,0,,Unknown,Unknown
GYL3UQEHEVNKN7IPHGVI,"Repsol ES, LEVANTINA DE COMBUST.",38.38627,-0.758594,0,,Unknown,Unknown
5MCQEKQD8VSRJHUB5SFF,"Repsol ES, CRED Avda. Da Universidade",42.194397,-8.718814,0,,Unknown,Unknown
DDGW2TPTBS7ENETVNPI4,"Repsol ES,  LA TORRE",40.22226,0.201337,0,,Unknown,Unknown
1GD5XKOHEGF8SETQQIKI,"Once, Centro de tiflotecnología",40.376793,-3.633473,0,,Unknown,Unknown
O0TONXH0DLQ4WIIZTSBA,"Mercadona, Paseo de Colón, Granada",37.229958,-3.655152,0,,Unknown,Unknown
7GDOCEWF9FVIVPIOAUNC,"Repsol ES, MONTSERRAT S.L.",41.552586,1.879861,0,,Unknown,Unknown
VSOINO3CUVTKTOGQJIKS,"Repsol ES, CARBURANTES GOSUPLA",37.121426,-5.467046,0,,Unknown,Unknown
EXZWJOJKCO6KZOYGQ6GK,"Repsol ES, GASOLMILLOS",42.399574,-4.038098,0,,Unknown,Unknown
0LOMCT8REG02BGKLPPGP,"Mercadona, Mariana Pineda, Granada",36.735348,-3.686408,0,,Unknown,Unknown
HAXJX82LI8FSADPTKFBL,"Repsol ES, CRED Las Franquesas",41.65043,2.297447,0,,Unknown,Unknown
RQA3QRDYNINA3KJ48IGC,"Repsol ES, CRED Parque",42.17173,2.478712,0,,Unknown,Unknown
AAPMKUPYWIYYGKV4L6WZ,"Repsol ES, Cred Arc De Bara",41.178364,1.488765,0,,Unknown,Unknown
